Date,site_no,flow_cfs,814_SWE_cm,684_SWE_cm,dayl_s,prcp_mm_day,srad_W_m2,swe_cm,tmax_C,tmin_C,vp_Pa,tmean,convective_fraction,longwave_radiation,potential_energy,potential_evaporation,pressure,shortwave_radiation,specific_humidity,temperature,total_precipitation,wind_u,wind_v
2007-10-20,10133650,8.29,2.794,0.0,38404.6,4.51,240.6,0.0,15.94,-0.31,596.85,7.8149999999999995,0.1651125434027778,262.65888454861107,32.32972222222222,0.14188263278537325,76228.36263888888,114.13571457248263,0.00403001953125,6.58339518229169,0.10790273437499999,5.98660373263889,2.7629730902777787
2007-10-21,10133650,8.12,3.55599999999999,0.76199999999999,38251.17,4.61,159.92,0.0,5.18,-3.67,465.77,0.7549999999999999,0.3149376519097223,244.53357638888883,43.66541666666667,0.08858556857638888,77109.11944444446,111.97826822916669,0.0029183473958333326,-2.4904074435763643,0.3517851779513889,3.941603732638889,-3.2326497395833327
2007-10-22,10133650,7.35,3.55599999999999,0.76199999999999,38098.72,0.0,302.21,0.0,8.21,-6.24,383.34,0.9850000000000003,0.0,211.66739366319447,0.1944722222222222,0.08332042100694445,78043.1676388889,160.50535069444445,0.0027092166666666667,-1.8313270399305297,0.0,1.0490602281358508,-0.4516125149197049
2007-10-23,10133650,7.2,3.55599999999999,0.76199999999999,37947.29,0.0,325.36,0.0,15.28,-2.37,513.25,6.455,0.0,234.79041666666672,0.0,0.10048155076768663,78378.35319444444,161.49475260416665,0.0032383828124999997,2.871305881076416,0.0,-0.23719835069444445,-1.1768880208333334
2007-10-24,10133650,7.37,3.302,0.508,37796.93,0.0,324.5,0.0,20.08,1.26,669.06,10.67,0.0,213.49229166666666,0.0,0.10848617621527779,78065.69638888889,163.54131076388884,0.0033865307291666667,6.147671440972246,0.0,-0.9104101562500001,1.2454405381944447
2007-10-25,10133650,7.25,3.04799999999999,0.0,37647.69,0.0,308.51,0.0,20.27,2.91,752.48,11.59,0.0,229.9440625,0.0,0.13106597222222222,77368.13388888889,157.02779166666664,0.0036025658854206403,8.09154513888891,0.0,0.8489887152777778,3.325349392361111
2007-10-26,10133650,7.44,3.04799999999999,0.0,37499.61,0.0,312.79,0.0,19.34,1.32,671.65,10.33,0.0,240.2676128472222,0.0,0.12388502604166668,77003.84944444447,152.8110876736111,0.004091848871527779,8.840506184895858,0.0,0.9862499999999998,2.239388020833333
2007-10-27,10133650,7.5,2.794,0.0,37352.73,0.0,304.24,0.0,16.81,-0.2,601.68,8.305,0.0,237.02279730902777,0.0,0.10660115017361113,77447.70791666665,147.70134201388888,0.00428725390625,6.721057942708358,0.0,-0.6638498263888889,0.4958224826388889
2007-10-28,10133650,7.43,2.54,0.0,37207.1,0.0,306.03,0.0,18.52,0.7,642.45,9.61,0.0,245.07778211805558,0.0,0.10082836371527779,77773.22958333333,126.97734044053819,0.004092711458333334,7.359390190972248,0.0,-0.3779839409722222,1.7661306423611114
2007-10-29,10133650,7.47,2.54,0.0,37062.77,0.0,290.44,0.0,18.89,2.39,725.22,10.64,0.0,263.64404296875006,2.40525,0.14060911458333333,77565.00319444445,143.44868663194447,0.0039050660580105256,9.319964735243078,0.002373220486111111,0.06585937499999994,2.741597222222222
