Date,site_no,flow_cfs,SWE_cm,dayl_s,prcp_mm_day,srad_W_m2,swe_cm,tmax_C,tmin_C,vp_Pa,tmean,convective_fraction,longwave_radiation,potential_energy,potential_evaporation,pressure,shortwave_radiation,specific_humidity,temperature,total_precipitation,wind_u,wind_v
2014-07-20,10164500,39.7,0.0,52197.74,0.0,434.96,0.0,27.21,14.03,1206.91,20.62,0.12234808598351,317.4838092033827,118.89456713780918,0.331017476442874,77526.1762720848,243.8476079210836,0.0060965487989086,19.43099265450164,0.0031152826855123,1.82073468786808,2.0233127208480566
2014-07-21,10164500,33.3,0.0,52101.73,0.0,424.2,0.0,26.64,13.95,1223.73,20.295,0.1612496024734982,303.73190371024737,91.31414885159008,0.3784515901060071,77508.73709658421,320.48813633686683,0.0063505534157832,19.312220569695988,0.0190059334511189,1.811146937573616,2.3226001177856297
2014-07-22,10164500,31.6,0.0,52003.11,0.0,499.25,0.0,30.08,13.43,1044.47,21.755,0.0,282.8330992343934,14.32391254416961,0.3918893992932862,77902.22307567726,332.6062488221437,0.005119554122497,19.286106333738243,0.0,-0.3768242049469965,2.603766195524146
2014-07-23,10164500,30.4,0.0,51901.94,0.0,451.48,0.0,30.7,16.24,1335.9,23.47,0.0,299.25231007067134,54.46654034157832,0.3850642962308599,77777.22702444052,305.19353931095407,0.0053686561000648,21.158101172565168,0.0,-1.039163722025913,3.3978975265017675
2014-07-24,10164500,29.5,0.0,51798.26,0.0,398.45,0.0,28.8,16.77,1505.01,22.785,0.0772100412249705,327.051847762073,157.05954740871613,0.4093952592555429,77473.06257656065,297.6841266195524,0.0072482934187279,21.56429816903161,0.0039569051825677,1.488920789163722,3.576077738515901
2014-07-25,10164500,28.9,0.0,51692.14,0.0,444.15,0.0,28.3,14.68,1182.99,21.49,0.0,307.4854711425206,69.84830035335689,0.4047616019481483,77392.7612926973,319.7706749116608,0.0064215351148409,20.34593864449906,0.0,0.7070803886925795,0.1315209069493521
2014-07-26,10164500,28.0,0.0,51583.63,0.0,413.2,0.0,27.66,15.49,1194.22,21.575,0.0,311.00781507656063,101.70060041224968,0.3929132508833922,77637.5434820377,320.07026207302704,0.006685998147982,20.48106231941073,0.0,0.4933200824499411,0.3866843345111897
2014-07-27,10164500,27.5,0.0,51472.8,0.0,453.32,0.0,29.14,15.21,1022.07,22.175,0.0,320.5288545347468,10.905062868080094,0.3230209216725559,77872.01534746762,231.9049169611307,0.0061898777152808,20.15001387201857,0.0,-0.1435556537102472,1.288856007067138
2014-07-28,10164500,27.5,0.0,51359.7,18.16,304.24,0.0,26.2,14.12,1207.89,20.16,0.0981332155477031,345.61338044758537,46.3391429623086,0.2957082302709069,77960.20371613663,214.15349896937576,0.0078253713796447,20.08009794956385,0.0328597909305064,0.3471319199057713,-0.8943227326266193
2014-07-29,10164500,29.8,0.0,51244.38,4.41,173.67,0.0,19.25,13.03,1500.18,16.14,0.107452738515901,350.88205094228493,9.920657243816253,0.1401683452390529,77853.37518992933,127.14022482332156,0.0096210421246388,13.28950413860058,0.2644398704358068,1.3968669022379268,-0.1474499411071849
